event_id,sport_key,sport_title,commence_time,home_team,away_team,completed,game_date
fd55db2fa9ee5be1f108be5151e2ecb0,basketball_nba,NBA,2023-10-24 23:30:00+00:00,Denver Nuggets,Los Angeles Lakers,False,2023-10-24
a44e83dd9ce3f2317ec644774daa859b,basketball_nba,NBA,2023-10-25 02:00:00+00:00,Golden State Warriors,Phoenix Suns,False,2023-10-25
be1ee8db7ba20de87a087e8851f9b2f5,basketball_nba,NBA,2023-10-25 23:00:00+00:00,Charlotte Hornets,Atlanta Hawks,False,2023-10-25
866b0f885ae4bebcabf5a6d57eb4064a,basketball_nba,NBA,2023-10-25 23:00:00+00:00,New York Knicks,Boston Celtics,False,2023-10-25
13898382e266df26f137ea596fd51666,basketball_nba,NBA,2023-10-25 23:00:00+00:00,Orlando Magic,Houston Rockets,False,2023-10-25
27ba27b22fe22e75d917a4bf9c7d0b1c,basketball_nba,NBA,2023-10-25 23:00:00+00:00,Indiana Pacers,Washington Wizards,False,2023-10-25
a1cd3feca01c061a891025f73ef39b22,basketball_nba,NBA,2023-10-25 23:30:00+00:00,Brooklyn Nets,Cleveland Cavaliers,False,2023-10-25
06ae6d0547da80d7854c003842247b43,basketball_nba,NBA,2023-10-25 23:30:00+00:00,Miami Heat,Detroit Pistons,False,2023-10-25
10b1b27d849e34c689b22889b08f847a,basketball_nba,NBA,2023-10-25 23:30:00+00:00,Toronto Raptors,Minnesota Timberwolves,False,2023-10-25
3e49df32408f1116cddcb9e621f07b86,basketball_nba,NBA,2023-10-26 00:00:00+00:00,Chicago Bulls,Oklahoma City Thunder,False,2023-10-26
680c0ab3ff2ac6797e5b13e8811689ce,basketball_nba,NBA,2023-10-26 00:00:00+00:00,Memphis Grizzlies,New Orleans Pelicans,False,2023-10-26
b283979adcfe094faf21120ef9893ed9,basketball_nba,NBA,2023-10-26 01:00:00+00:00,Utah Jazz,Sacramento Kings,False,2023-10-26
d8a9b6ff36694d9853817624776e76cb,basketball_nba,NBA,2023-10-26 01:30:00+00:00,San Antonio Spurs,Dallas Mavericks,False,2023-10-26
ed8aebe011b77b2122a41dde9adf4247,basketball_nba,NBA,2023-10-26 02:30:00+00:00,Los Angeles Clippers,Portland Trail Blazers,False,2023-10-26
2e060ed9ba9dad6f029bd2852dc4867a,basketball_nba,NBA,2023-10-26 23:30:00+00:00,Milwaukee Bucks,Philadelphia 76ers,False,2023-10-26
33c4c8f43aa2df7803f256b99017cd2e,basketball_nba,NBA,2023-10-27 02:00:00+00:00,Los Angeles Lakers,Phoenix Suns,False,2023-10-27
fb58618d79303aca428cb84a323e7595,basketball_nba,NBA,2023-10-27 23:00:00+00:00,Charlotte Hornets,Detroit Pistons,False,2023-10-27
d7343c18102c8038aa38e7cd43a03b1e,basketball_nba,NBA,2023-10-27 23:00:00+00:00,Memphis Grizzlies,Denver Nuggets,False,2023-10-27
6878a08bdb7a92aacd25df65456289b8,basketball_nba,NBA,2023-10-27 23:30:00+00:00,Boston Celtics,Miami Heat,False,2023-10-27
163d5bb8fc21f98d071a2c1d426eb080,basketball_nba,NBA,2023-10-27 23:30:00+00:00,Cleveland Cavaliers,Oklahoma City Thunder,False,2023-10-27
5599e516749c718886accfd047f5d4df,basketball_nba,NBA,2023-10-27 23:30:00+00:00,Atlanta Hawks,New York Knicks,False,2023-10-27
e826c4ab86d1d9c0a8b6bec5e740ba65,basketball_nba,NBA,2023-10-28 00:00:00+00:00,Chicago Bulls,Toronto Raptors,False,2023-10-28
8ca53724f822568cb6810c0c3ba74675,basketball_nba,NBA,2023-10-28 00:00:00+00:00,San Antonio Spurs,Houston Rockets,False,2023-10-28
d9efc57955141ca09569eb70b5dc87c3,basketball_nba,NBA,2023-10-28 00:30:00+00:00,Dallas Mavericks,Brooklyn Nets,False,2023-10-28
753ef68a873f56a2be516283c4faabe5,basketball_nba,NBA,2023-10-28 01:30:00+00:00,Utah Jazz,Los Angeles Clippers,False,2023-10-28
26d2c9d045e54ad73c714f352fb31f75,basketball_nba,NBA,2023-10-28 02:00:00+00:00,Sacramento Kings,Golden State Warriors,False,2023-10-28
de09cee9e9430e07fa6a53b458a00920,basketball_nba,NBA,2023-10-28 02:00:00+00:00,Portland Trail Blazers,Orlando Magic,False,2023-10-28
97f0e5496c5e6914707cf33f70e8f7be,basketball_nba,NBA,2023-10-28 23:00:00+00:00,Washington Wizards,Memphis Grizzlies,False,2023-10-28
67e504935ff51d19983716a98bf34ffe,basketball_nba,NBA,2023-10-28 23:00:00+00:00,New Orleans Pelicans,New York Knicks,False,2023-10-28
